"NR.CRT","Capitol","Subcapitol","Situația Clinică","Tip","Examen","Indicație","Grad Indicație","Comentarii","Alte informații","Doza Min","Doza Max"
1415,"Aparat locomotor","Diverse","Leziune de părţi moi de natură nedeterminată","I","Biopsie percutană","Doar cu aviz specializat","B","Această procedură nu se efectuează înaintea unui bilanţ biologic şi morfologic (radiografii simple, CT, RM, scintigrafie). Utilitatea şi modalităţile de efectuare (biopsie versus abord direct, zona de biopsiat, calea de abord - ţinând cont de riscul de diseminare tumorală, modalitatea de ghidaj, prelucrarea materialului bioptic) trebuie discutate cu echipa care se ocupă de tratamentul ulterior. Aceste investigaţii e bine să se realizeze într-un centru specializat.","RI - PC6",2,3
1416,"Aparat locomotor","Diverse","Leziune osoasă focală de natură nedeterminată","I","Biopsie osoasă percutană","Doar cu aviz specializat","B","Această procedură nu se efectuează înaintea unui bilanţ biologic şi morfologic (radiografii simple, CT, RM, scintigrafie). Utilitatea şi modalităţile de efectuare (biopsie versus abord direct, zona de biopsiat, calea de abord, modalitatea de ghidaj, prelucrarea materialului bioptic) trebuie discutate cu echipa care se ocupă de tratamentul ulterior. Aceste investigaţii e bine să se realizeze într-un centru specializat.","RI - PC6",2,3
1417,"Aparat locomotor","Diverse","Leziuni tumorale sau pseudotumorale de părţi moi","I","Embolizare","Doar cu aviz specializat","C","Interesul şi modalităţiile de efectuare a acestor proceduri (injectare de substanţe sclerozante, de ciment acrilic, embolizare) trebuie discutate cu echipa terapeutică. Aceste proceduri e bine să se realizeze într-un centru specializat.","RI - PB5 / PB6",0,2
1418,"Aparat locomotor","Diverse","Osteomalacie","G","Radiografie","Indicat","A","Utilă in diagnosticul unei dureri localizate.",,1,1
1419,"Aparat locomotor","Diverse","Osteomalacie","N","Scintigrafie osoasă
(99mTc- HDP, 99mTc-HMDP, 99mTc-MDP) WB si 
SPECT-CT
","Indicat","C","In caz de pacient cu osteomalacie cunoscuta , scintigrafia evidentiaza zone de hiperfixare ce reprezinta focare de fractura. In cazul in care boala nu e cunoscuta, scintigrafia evidentiaza o imagine de superscan.",,2,2
1420,"Aparat locomotor","Diverse","Osteomalacie","D","Osteodensitometrie","Doar în cazuri particulare","C","Utilă pentru diagnosticul unei osteomalacii prin deficit de vitamina D.",,1,1
1421,"Aparat locomotor","Diverse","Osteomalacie","N","PET-CT (F18-FDG)","Doar cu aviz specializat","B","Poate pune in evidenta o leziune responsabila de osteomalacie paraneoplazica.",,4,4
1422,"Aparat locomotor","Diverse","Osteomalacie","N","Scintigrafia cu analogi ai receptorilor de somatostatina radiomarcati","Doar cu aviz specializat","B","Poate pune in evidenta o leziune responsabila de osteomalacie paraneoplazica.",,4,4
1423,"Aparat locomotor","Diverse","Osteomielita – suspiciune","G","Radiografie","Indicat","B","De primă intentie.",,1,1
1424,"Aparat locomotor","Diverse","Osteomielita – suspiciune","M","IRM","Indicat","B","Diagnostic precoce și extensia procesului infecțios la nivel osos și în părțile moi.",,0,0
1425,"Aparat locomotor","Diverse","Osteomielita – suspiciune","N","PET-CT (F18-FDG)","Doar în cazuri particulare","B","Osteomielitei osoase periferice (non-postoperatorie la piciorul diabetic si non-diabetic).",,3,4
1426,"Aparat locomotor","Diverse","Osteomielita – suspiciune","N","Scintigrafie osoasă
(99mTc- HDP, 99mTc-HMDP, 99mTc-MDP) WB si 
SPECT-CT, Scintigrafie cu leucocite marcate","Doar în cazuri particulare","B","Permite diagnosticul formelor multifocale. Diagnosticul leziunilor infectioase, cum ar fi osteomielita si spondilodiscita (completate cu tehnici imagistice specifice infectiei) Permite diagnosticul formelor multifocale",,2,2
1427,"Aparat locomotor","Diverse","Osteomielita – suspiciune","T","CT","Doar în cazuri particulare","B","Sensibil în detectarea osteolizei. În cazurile acute, CT-ul e mai puțin sensibil comparativ cu IRM. În caz de osteomielită cronică permite diagnosticul sechestrelor osoase.",,1,2
1428,"Aparat locomotor","Diverse","Osteomielita – suspiciune","E","Ecografie","Doar cu aviz specializat","B","Poate evidenția epanșament articular, hipervascularizație Doppler, abces subperiostal, eroziuni corticale și permite ghidajul puncțiilor diagnostice.",,0,0
1429,"Aparat locomotor","Diverse","Sindrom dureros post protezare","G","Radiografie","Indicat","B","Apreciaza poziționarea și uzura protezei, integritatea osoasa.",,1,1
1430,"Aparat locomotor","Diverse","Sindrom dureros post protezare","E","Ecografie","Doar cu aviz specializat","C","Foarte performant în evidențierea epanșamentelor și colecțiilor periprotetice.",,0,0
1431,"Aparat locomotor","Diverse","Sindrom dureros post protezare","I","Artrografie","Doar cu aviz specializat","B","In caz de dubiu diagnostic sau in caz de suspiciune de infecție.",,1,1
1432,"Aparat locomotor","Diverse","Sindrom dureros post protezare","I","Artrografie","Doar cu aviz specializat","B","In caz de dubiu diagnostic sau in caz de suspiciune de infectie.","RI - PC8",1,1
1433,"Aparat locomotor","Diverse","Sindrom dureros post protezare","N","PET-CT (F18-FDG)","Doar cu aviz specializat","B","Infectii ale protezelor osteo-articulare.",,4,4
1434,"Aparat locomotor","Diverse","Sindrom dureros post protezare","N","Scintigrafie osoasă
(99mTc- HDP, 99mTc-HMDP, 99mTc-MDP) WB si 
SPECT-CT","Doar cu aviz specializat","B","Diagnosticul complicatiilor postprotezare.",,2,2
1435,"Aparat locomotor","Diverse","Sindrom dureros post protezare","T","CT","Doar cu aviz specializat","B","Anomalii periprotetice nevizualizabile radiografic.",,1,2
1436,"Aparat locomotor","Diverse","Tendinopatii calcifiante simptomatice a musculaturii rotatorii humerale","I","Puncţie- infiltraţie ghidată prin reperarea imagistică a calcificărilor tendinoase","Doar cu aviz specializat","B","Puncţia-infiltraţie ghidată imagistic (radiografie sau ecografie) a calcificărilor tendinoase ale musculaturii rotatorii humerale reprezintă o alternativă terapeutică în caz de eşec al tratamentului medical sau fizioterapic. Indicaţia sa versus ablaţia artroscopică sau chirurgicală trebuie discutată cu clinicienii. Această tehnică poate fi aplicată în egală măsură şi în cazul altor localizări.","RI - PC7",0,2
1437,"Aparat locomotor","Diverse","ALTĂ SITUAȚIE CLINICĂ","Z","Situație clinică neîncadrabilă","Este necesară justificare detaliată",,,,,
1438,"Aparat locomotor","Genunchi","Gonalgie (simptomatologie clinică de gonartroză )","G","Radiografie","Indicat","B","Indicată pentru confirmarea diagnosticului de gonartroză, pentru stadializarea artrozei femuro-tibiale și femuro-patelare, precum și a posibililor factori favorizanti.",,1,1
1439,"Aparat locomotor","Genunchi","Gonalgie (simptomatologie clinică de gonartroză )","E","Ecografia","Doar în cazuri particulare","C","Detectarea chistelor popliteale și a patologiei tendinoase, a bursitelor și chistelor periarticulare.",,0,0
1440,"Aparat locomotor","Genunchi","Gonalgie (simptomatologie clinică de gonartroză )","M","IRM","Neindicat în primă intenție","B","Examinare indicată cand cauza sindromului dureros nu este detectată radiografic, în cazul patologiei periarticulare și preoperator.",,0,0
1441,"Aparat locomotor","Genunchi","Gonalgie (simptomatologie clinică meniscală, condropatie sau prezența de corp străin)","G","Radiografie","Indicat","B","Vizualizarea de corpi straini intraarticulari",,1,1
1442,"Aparat locomotor","Genunchi","Gonalgie (simptomatologie clinică meniscală, condropatie sau prezența de corp străin)","M","IRM","Indicat","B","Examinarea de elecție pentru evidențierea leziunilor meniscale, ligamentare sau osteocondrale.",,0,0
1443,"Aparat locomotor","Genunchi","Gonalgie (simptomatologie clinică meniscală, condropatie sau prezența de corp străin)","M","Artro IRM","Doar în cazuri particulare","C","Examinare indicata de obicei postoperator. Evaluarea meniscului operat și a cartilajului articular, precum și prezența de corpi străini intraarticulari.",,0,0
1444,"Aparat locomotor","Genunchi","Gonalgie (simptomatologie clinică meniscală, condropatie sau prezența de corp străin)","T","Artro CT ","Doar în cazuri particulare","C","Examinare indicată de obicei când examinarea IRM este contraindicată sau artefactată de materiale de osteosinteza postoperator. Evaluarea meniscului operat și a cartilajului articular, precum și prezența de corpi străini intraarticulari.",,1,1
1445,"Aparat locomotor","Genunchi","Gonalgie determinată de leziuni femuro-patelare","G","Radiografie","Indicat","B","Permite studierea morfologiei femuro-patelare precum și poziția și diametrele patelei.",,1,1
1446,"Aparat locomotor","Genunchi","Gonalgie determinată de leziuni femuro-patelare","M","IRM","Indicat","B","Examinare importantă pentru diagnosticul și evaluarea luxațiilor patelare traumatice. Stabilește bilanțul cert al leziunilor intraarticulare și periarticulare. Determinarea certă a leziunilor cartilaginoase, a localizarii acestora. Examen utilizat în monitorizare  post terapeutică.",,0,0
1447,"Aparat locomotor","Genunchi","Gonalgie determinată de leziuni femuro-patelare","T","CT","Indicat","C","Masurarea raporturilor trohlee femuro-patelară.",,1,1
1448,"Aparat locomotor","Genunchi","Gonalgie determinată de leziuni femuro-patelare","T","Artro CT","Doar cu aviz specializat","C","Examen pentru analiza cartilajului femuro-patelar, rar efectuată.",,1,1
1449,"Aparat locomotor","Genunchi","Gonalgie determinată de leziuni femuro-patelare","E","Ecografie ","Neindicat","C","Nu permite masurători certe.",,0,0
1450,"Aparat locomotor","Genunchi","ALTĂ SITUAȚIE CLINICĂ","Z","Situație clinică neîncadrabilă","Este necesară justificare detaliată",,,,,
1451,"Aparat locomotor","Picior","Halux valgus","G","Radiografie","Indicat","C","Radiografie într-o singură incidență, efectuată preoperator.",,1,1
1452,"Aparat locomotor","Picior","ALTĂ SITUAȚIE CLINICĂ","Z","Situație clinică neîncadrabilă","Este necesară justificare detaliată",,,,,
1453,"Aparat locomotor","Șold","Coxalgie","G","Radiografie","Indicat","C","Radiografiile sunt necesare și suficiente pentru diagnosticul coxartrozei și permit cuantificarea unei displazii de șold.",,2,2
1454,"Aparat locomotor","Șold","Coxalgie","N","PET-CT (F18-FDG)","Indicat","C","Alegerea modalitatii imagistice nucleare se face de catre medicul de medicina nucleara.",,3,3
1455,"Aparat locomotor","Șold","Coxalgie","M","Artro-IRM ","Doar cu aviz specializat","C","Condropatii incipiente și leziuni ale labrumului.",,0,0
1456,"Aparat locomotor","Șold","Coxalgie","N","Scintigrafie osoasă
(99mTc- HDP, 99mTc-HMDP, 99mTc-MDP) WB si 
SPECT-CT","Doar cu aviz specializat","B","Utila in caz de radiografie negative sau in caz de suspiciune asupra unei fracturi prin insuficienta osoasa.",,2,2
1457,"Aparat locomotor","Șold","Coxalgie","T","Artro-CT","Doar cu aviz specializat","C","Condropatii incipiente și leziuni ale labrumului.",,2,3
1458,"Aparat locomotor","Șold","Coxalgie","E","Ecografie","Neindicat în primă intenție","C","Poate evidenția un epanșament intraarticular, o sinovită sau o patologie periarticulară",,0,0
1459,"Aparat locomotor","Șold","Coxalgie","M","IRM pelvin","Neindicat în primă intenție","B","Modificări osoase (algodistrofie, fractură de stress, osteonecroza), sinoviale și periarticulare.",,0,0
1460,"Aparat locomotor","Șold","Necroza aseptica de cap femural","N","PET-CT (F18-FDG)","Doar cu aviz specializat","B","Permite diagnosticul in stadii incipiente a focarelor latente.",,4,4
1461,"Aparat locomotor","Șold","Necroza aseptica de cap femural","N","Scintigrafie osoasă
(99mTc- HDP, 99mTc-HMDP, 99mTc-MDP) WB si 
SPECT-CT","Doar cu aviz specializat","B","Permite diagnosticul in stadii incipiente a focarelor latente.",,2,2
1462,"Aparat locomotor","Șold","Necroza aseptică de cap femural","G","Radiografie coxo-femurala","Indicat","B","Modificările radiografice sunt evidente din stadiul II de boală.",,1,2
1463,"Aparat locomotor","Șold","Necroza aseptică de cap femural","M","IRM bazin osos","Indicat","B","Confirmă diagnosticul și poate evalua impactul necrozei osoase. Vizualizează și capul femural controlateral.",,0,0
1464,"Aparat locomotor","Șold","ALTĂ SITUAȚIE CLINICĂ","Z","Situație clinică neîncadrabilă","Este necesară justificare detaliată",,,,,
1465,"Aparat locomotor","Umăr","Nevralgie cervico-brahiala","T","CT coloana cervicala","Doar în cazuri particulare","B","În caz de contraindicație pentru examenul IRM, examinarea CT este indicată.",,1,2
1466,"Aparat locomotor","Umăr","Nevralgie cervico-brahiala","T","Mielo-CT","Doar în cazuri particulare","B","În caz de simptome și semne ce sunt țn discordanță cu examinarea IRM sau în caz de contraindicație IRM, se poate opta pentru Mielo-CT.",,1,2
1467,"Aparat locomotor","Umăr","Nevralgie cervico-brahiala","M","IRM coloana cervicala","Doar cu aviz specializat","B","În caz de evoluție nefavorabilă a tratamentului medical și în cazul în care se impune o intervenție invazivă, examinările complementare sunt necesare , IRM-ul fiind de primă intenție.",,0,0
1468,"Aparat locomotor","Umăr","Nevralgie cervico-brahiala","G","Radiografie coloană cervicală","Neindicat în primă intenție","B","Tratamentul nevralgiei cervico-brahiale  de origine artrozică sau herniară e în primul rand medical. In caz de prim puseu  tratamentul simptomatic trebuie sa preceadă orice investigație imagistică.",,1,1
1469,"Aparat locomotor","Umăr","Patologia umărului","E","Ecografie","Indicat","C","In caz de suspiciune de patologie a coafei rotatorilor.",,0,0
1470,"Aparat locomotor","Umăr","Patologia umărului","G","Radiografie","Indicat","C","Doar in caz de absența răspunsului terapeutic după 4 saptamâni sau în caz de umăr hiperalgic.",,1,1
1471,"Aparat locomotor","Umăr","Patologia umărului","M","Artro-IRM","Doar cu aviz specializat","B","În caz de condropatie infraradiologică sau preoperator.",,0,0
1472,"Aparat locomotor","Umăr","Patologia umărului","T","Artro-CT","Doar cu aviz specializat","B","În caz de condropatie infraradiologică sau preoperator.",,1,2
1473,"Aparat locomotor","Umăr","Patologia umărului","M","IRM","Neindicat în primă intenție","C","În caz de condropatie infraradiologică sau preoperator.",,0,0
